elevation (ft),storage (maf),area (area)
3615.5,13291891.39,103557.05
3616,13343735.8,103820.6
3616.5,13395711.99,104084.15
3617,13447819.95,104347.7
3617.5,13500059.69,104611.25
3618,13552431.2,104874.8
3618.5,13604934.49,105138.35
3619,13657569.55,105401.9
3619.5,13710336.39,105665.45
3620,13763235,105929
3620.5,13816275.28,106232.12
3621,13869467.12,106535.25
3621.5,13922810.53,106838.37
3622,13976305.5,107141.5
3622.5,14029952.03,107444.62
3623,14083750.12,107747.75
3623.5,14137699.78,108050.87
3624,14191801,108354
3624.5,14246053.78,108657.12
3625,14300458.12,108960.25
3625.5,14355014.03,109263.37
3626,14409721.5,109566.5
3626.5,14464580.53,109869.62
3627,14519591.12,110172.75
3627.5,14574753.28,110475.87
3628,14630067,110779
3628.5,14685532.28,111082.12
3629,14741149.12,111385.25
3629.5,14796917.53,111688.37
3630,14852837.5,111991.5
3630.5,14908909.03,112294.62
3631,14965132.12,112597.75
3631.5,15021506.78,112900.87
3632,15078033,113204
3632.5,15134710.78,113507.12
3633,15191540.12,113810.25
3633.5,15248521.03,114113.37
3634,15305653.5,114416.5
3634.5,15362937.53,114719.62
3635,15420373.12,115022.75
3635.5,15477960.28,115325.87
3636,15535699,115629
3636.5,15593589.28,115932.12
3637,15651631.12,116235.25
3637.5,15709824.53,116538.37
3638,15768169.5,116841.5
3638.5,15826666.03,117144.62
3639,15885314.12,117447.75
3639.5,15944113.78,117750.87
3640,16003065,118054
3640.5,16062172.28,118375.12
3641,16121440.12,118696.25
3641.5,16180868.53,119017.37
3642,16240457.5,119338.5
3642.5,16300207.03,119659.62
3643,16360117.12,119980.75
3643.5,16420187.78,120301.87
3644,16480419,120623
3644.5,16540810.78,120944.12
3645,16601363.12,121265.25
3645.5,16662076.03,121586.37
3646,16722949.5,121907.5
3646.5,16783983.53,122228.62
3647,16845178.12,122549.75
3647.5,16906533.28,122870.87
3648,16968049,123192
3648.5,17029725.28,123513.12
3649,17091562.12,123834.25
3649.5,17153559.53,124155.37
3650,17215717.5,124476.5
3650.5,17278036.03,124797.62
3651,17340515.12,125118.75
3651.5,17403154.78,125439.87
3652,17465955,125761
3652.5,17528915.78,126082.12
3653,17592037.12,126403.25
3653.5,17655319.03,126724.37
3654,17718761.5,127045.5
3654.5,17782364.53,127366.62
3655,17846128.12,127687.75
3655.5,17910052.28,128008.87
3656,17974137,128330
3656.5,18038382.28,128651.12
3657,18102788.12,128972.25
3657.5,18167354.53,129293.37
3658,18232081.5,129614.5
3658.5,18296969.03,129935.62
3659,18362017.12,130256.75
3659.5,18427225.78,130577.87
3660,18492595,130899
3660.5,18558136.67,131267.7
3661,18623862.7,131636.4
3661.5,18689773.07,132005.1
3662,18755867.8,132373.8
3662.5,18822146.87,132742.5
3663,18888610.3,133111.2
3663.5,18955258.07,133479.9
3664,19022090.2,133848.6
3664.5,19089106.67,134217.3
3665,19156307.5,134586
3665.5,19223692.67,134954.7
3666,19291262.2,135323.4
3666.5,19359016.07,135692.1
3667,19426954.3,136060.8
3667.5,19495076.87,136429.5
3668,19563383.8,136798.2
3668.5,19631875.07,137166.9
3669,19700550.7,137535.6
3669.5,19769410.67,137904.3
3670,19838455,138273
3670.5,19907683.67,138641.7
3671,19977096.7,139010.4
3671.5,20046694.07,139379.1
3672,20116475.8,139747.8
3672.5,20186441.87,140116.5
3673,20256592.3,140485.2
3673.5,20326927.07,140853.9
3674,20397446.2,141222.6
3674.5,20468149.67,141591.3
3675,20539037.5,141960
3675.5,20610109.67,142328.7
3676,20681366.2,142697.4
3676.5,20752807.07,143066.1
3677,20824432.3,143434.8
3677.5,20896241.87,143803.5
3678,20968235.8,144172.2
3678.5,21040414.07,144540.9
3679,21112776.7,144909.6
3679.5,21185323.67,145278.3
3680,21258055,145647
3680.5,21330973.11,146025.42
3681,21404080.42,146403.85
3681.5,21477376.96,146782.27
3682,21550862.7,147160.7
3682.5,21624537.66,147539.12
3683,21698401.82,147917.55
3683.5,21772455.21,148295.97
3684,21846697.8,148674.4
3684.5,21921129.61,149052.82
3685,21995750.62,149431.25
3685.5,22070560.86,149809.67
3686,22145560.3,150188.1
3686.5,22220748.96,150566.52
3687,22296126.82,150944.95
3687.5,22371693.91,151323.37
3688,22447450.2,151701.8
3688.5,22523395.71,152080.22
3689,22599530.42,152458.65
3689.5,22675854.36,152837.07
3690,22752367.5,153215.5
3690.5,22829069.86,153593.92
3691,22905961.42,153972.35
3691.5,22983042.21,154350.77
3692,23060312.2,154729.2
3692.5,23137771.41,155107.62
3693,23215419.82,155486.05
3693.5,23293257.46,155864.47
3694,23371284.3,156242.9
3694.5,23449500.36,156621.32
3695,23527905.62,156999.75
3695.5,23606500.11,157378.17
3696,23685283.8,157756.6
3696.5,23764256.71,158135.02
3697,23843418.82,158513.45
3697.5,23922770.16,158891.87
3698,24002310.7,159270.3
3698.5,24082040.46,159648.72
3699,24161959.42,160027.15
3699.5,24242067.61,160405.57
3700,24322365,160784
3700.5,24402858.78,161191.12
3701,24483556.12,161598.25
3701.5,24564457.03,162005.37
3702,24645561.5,162412.5
3702.5,24726869.53,162819.62
3703,24808381.12,163226.75
3703.5,24890096.28,163633.87
3704,24972015,164041
3704.5,25054137.28,164448.12
3705,25136463.12,164855.25
3705.5,25218992.53,165262.37
3706,25301725.5,165669.5
3706.5,25384662.03,166076.62
3707,25467802.12,166483.75
3707.5,25551145.78,166890.87
3708,25634693,167298
3708.5,25718443.78,167705.12
3709,25802398.12,168112.25
3709.5,25886556.03,168519.37
3710,25970917.5,168926.5
3710.5,26055482.53,169333.62
3711,26140251.12,169740.75
3711.5,26225223.28,170147.87
