Year,Hydropower,Wind,Solar,Bioenergy,Geothermal
2000,279986,5650,709,56180,14621
2001,214728,6806,785,50337,14246
2002,291755,10459,830,54875,14939
2003,305724,11300,848,54806,14870
2004,297894,14291,965,56126,15487
2005,297926,17881,1120,57981,16778
2006,317689,26676,1287,58796,16581
2007,275545,34603,1674,59121,16798
2008,281995,55696,2093,59647,16873
2009,298410,74226,2515,59319,17046
2010,286333,95148,3942,61744,17577
2011,344561,120854,6215,62320,17840
2012,298287,141922,10145,64109,18135
2013,290113,169713,15872,66939,18422
2014,281527,183892,25764,70818,18710
2015,271129,192992,35635,70067,18727
2016,292113,229471,50334,69017,18584
2017,325114,257249,70980,68857,18726
2018,317004,275834,85184,67885,18773
2019,310571,298200,97478,63194,18364
2020,308213,341818,119329,60269,18831
