species,period,variable,RCP_26,RCP_26_SE,RCP_45,RCP_45_SE,RCP_60,RCP_60_SE,RCP_85,RCP_85_SE
American Shad,Historical,Onset,-3.8,1.08,-4.4,0.77,-1.4,1.13,-4.7,1.04
American Shad,Historical,Cessation,-5.2,1.06,-6.2,1.01,-4.3,1.64,-6.2,1.32
American Shad,Historical,Duration,-1.3,1.49,-1.8,1.17,-2.9,2.3,-1.5,1.5
Striped Bass,Historical,Onset,-3.9,0.93,-4.2,0.78,-1.4,1.5,-4.2,0.93
Striped Bass,Historical,Cessation,-5.7,1.13,-6.4,1.16,-4.6,1.45,-6.4,1.21
Striped Bass,Historical,Duration,-1.8,1.42,-2.2,1.29,-3.2,1.96,-2.3,1.28
American Shad,Future,Onset,-3.8,0.97,-9.1,0.71,-13.8,2.17,-21.5,1.18
American Shad,Future,Cessation,-5.7,1.03,-12.5,0.96,-16.8,1.18,-25,1.07
American Shad,Future,Duration,-2,1.11,-3.6,1.25,-3.2,2.55,-4,1.56
Striped Bass,Future,Onset,-4,0.9,-8.3,0.42,-13.3,1.92,-19.9,0.97
Striped Bass,Future,Cessation,-5.6,1.2,-13,0.93,-17,1.19,-27.1,1.12
Striped Bass,Future,Duration,-1.6,1.27,-4.7,1.1,-3.7,2.21,-7.2,1.17
